"Age Range","Label","White","Black","Hispanic","Other","Total"
" ","Pop","26,388","2,309","9,000","3,872","41,569"
" ","Tx","2,639","231","900","387","4,157"
" ","Life","5,278","462","1,800","774","8,314"
" ","Pop","22,165","1,806","5,582","2,535","32,088"
" ","Tx","2,216","181","558","254","3,209"
" ","Life","4,433","361","1,116","507","6,418"
" ","Pop","37,714","3,178","8,462","3,475","52,829"
" ","Tx","3,771","318","846","348","5,283"
" ","Life","7,543","636","1,692","695","10,566"
" ","Pop","23,541","2,559","5,530","1,935","33,565"
" ","Tx","2,354","256","553","194","3,356"
" ","Life","4,708","512","1,106","387","6,713"
" ","Pop","8,635","1,114","2,475","720","12,944"
" ","Tx","864","111","248","72","1,294"
" ","Life","1,727","223","495","144","2,589"
" ","Pop","118,443","10,966","31,049","12,537","172,995"
" ","Tx","11,844","1,097","3,105","1,254","17,300"
" ","Life","23,689","2,193","6,210","2,507","34,599"
